name,surname,email,password,role,service_id
Charles,Leclerc,cleclerc@bcit.ca,1234,advisor,1
Carlos,Sainz,csainz@bcit.ca,1234,advisor,1
Lewis,Hamilton,lhamilton@bcit.ca,1234,advisor,1
Elsie,Hughes,ehughes@bcit.ca,1234,advisor,2
Padma,Patil,ppatil@bcit.ca,1234,advisor,2
Valerie,Frizzle,vfrizzle@bcit.ca,1234,advisor,2
Elon,Musk,emusk@bcit.ca,1234,advisor,3
Jeff,Bezos,jbezos@bcit.ca,1234,advisor,3
Bill,Gates,bgates@bcit.ca,1234,advisor,3
Sonja,Wick,swick@bcit.ca,1234,advisor,3
Noelle,Akopian,nakopian@bcit.ca,1234,advisor,3
Ada,Lovelace,alovelace@bcit.ca,1234,advisor,1
Alan,Turing,aturing@bcit.ca,1234,advisor,1
Grace,Hopper,ghopper@bcit.ca,1234,advisor,1
Katherine,Johnson,kjohnson@bcit.ca,1234,advisor,2
Margaret,Hamilton,mhamilton@bcit.ca,1234,advisor,2
Tim,Berners-Lee,tberners@bcit.ca,1234,advisor,2
Guido,van Rossum,gvanrossum@bcit.ca,1234,advisor,3
Linus,Torvalds,ltorvalds@bcit.ca,1234,advisor,3
James,Gosling,jgosling@bcit.ca,1234,advisor,3
Jeremy,Usbourne,jusbourne@bcit.ca,1234,advisor,4
Rae,Earl,rearl@bcit.ca,1234,advisor,4
test1,user1,testUser@my.bcit.ca,1234,student,
test2,user2,testUser2@my.bcit.ca,1234,student,
